開催場,レース番号,馬番,馬名,近走平均指数,近走平均順位,当該距離指数,当該距離順位,当該コース指数,当該コース順位
新潟,3R,8,ミスタートントン,69.0,1位,78.0,1位,74.0,1位
新潟,9R,1,ジュリアスローズ,1000.0,1位,1000.0,1位,1000.0,1位
新潟,10R,7,ロジキセキ,61.0,2位,72.0,1位,72.0,1位
中京,4R,4,クリコバロー,69.0,2位,78.0,2位,58.0,3位
中京,4R,13,マテンロウアワー,64.0,3位,74.0,3位,69.0,2位
中京,6R,10,エアビッグマム,85.0,3位,96.0,3位,96.0,2位
中京,7R,5,ドンインザムード,103.0,2位,116.0,3位,110.0,2位
中京,8R,4,ジョータルマエ,94.0,1位,100.0,2位,94.0,2位
中京,9R,8,メイクワンズデイ,90.0,1位,97.0,2位,87.0,2位
中京,10R,5,ダディーズグーグー,77.0,2位,88.0,3位,88.0,1位
中京,10R,6,ザングウィル,81.0,1位,92.0,2位,83.0,2位
中京,11R,5,オリーボーレン,85.0,3位,96.0,1位,92.0,1位
中京,12R,7,チュウワメロディー,91.0,1位,88.0,2位,79.0,1位
札幌,8R,9,サンウリエル,82.0,2位,91.0,1位,91.0,1位
札幌,9R,2,サウンドルーチェ,77.0,3位,87.0,1位,87.0,1位
